26.16,0.72,,222032
24.47,0.41,224694
24.89,0.53,224698
24.82,0.41,224702
24.47,0.47,224707
24.89,0.41,224711
24.82,0.41,224715
24.47,0.53,224720
24.89,0.09,224724
24.47,0.41,224729
24.89,0.41,224734
24.47,0.41,224738
24.47,0.53,224742
24.89,0.53,224746
24.40,0.53,224751
24.47,0.47,224755
24.47,0.41,224759
24.89,0.53,224764
24.89,0.53,224769
24.82,0.60,224773
24.40,0.47,224778
24.89,0.47,224782
24.89,0.34,224786
24.89,0.34,224791
24.89,0.60,224795
24.82,0.41,224799
24.47,0.41,224803
24.89,0.53,224808
24.82,0.41,224813
24.89,0.41,224817
24.89,0.41,224822
24.82,0.60,224826
24.40,0.53,224830
24.89,0.47,224835
24.47,0.60,224839
24.89,0.41,224843
24.47,0.22,224848
24.89,0.47,224852
24.89,0.47,224857
24.47,0.47,224862
24.47,0.28,224866
24.40,0.28,224870
24.89,0.03,224874
,227535
24.54,0.03,227540
24.89,0.41,227545
24.89,0.41,227549
25.25,0.47,227554
24.96,0.47,227558
24.82,0.41,227562
24.82,0.53,227567
24.89,0.47,227571
24.82,0.47,227575
24.89,0.53,227580
24.40,0.53,227585
24.47,0.47,227589
24.89,0.53,227594
25.25,0.47,227598
24.40,0.60,227602
24.47,0.47,227606
24.40,0.53,227611
24.47,0.60,227615
24.96,0.34,227619
25.25,0.41,227624
24.89,0.41,227629
24.47,0.47,227633
24.40,0.41,227638
24.40,0.41,227642
24.89,0.41,227646
24.89,0.53,227651
25.32,0.53,227655
24.82,0.41,227659
24.47,0.60,227664
24.40,0.53,227668
24.89,0.47,227673
24.89,0.60,227677
24.40,0.60,227682
24.82,0.34,227686
24.89,0.53,227690
24.96,0.41,227695
25.25,0.53,227699
24.40,0.53,227703
24.89,0.47,227708
24.54,0.41,227713
24.82,0.34,227717
24.82,0.66,227722
25.25,0.47,227726
24.40,0.53,227730
24.40,0.53,227735
24.82,0.53,227739
24.89,0.53,227743
24.89,0.53,227748
24.54,0.53,227752
24.82,0.53,227757
24.82,0.53,227761
24.47,0.47,227766
24.40,0.53,227770
24.40,0.47,227774
25.25,0.41,227779
24.82,0.47,227783
24.47,0.47,227787
24.47,0.41,227792
24.89,0.41,227796
24.89,0.53,227801
24.96,0.47,227806
24.82,0.53,227810
24.47,0.34,227814
24.47,0.53,227818
24.82,0.53,227823
24.82,0.47,227827
24.89,0.53,227831
24.89,0.53,227836
24.47,0.47,227841
24.89,0.41,227845
24.82,0.41,227850
24.40,0.60,227854
25.25,0.41,227858
24.82,0.47,227863
24.89,0.15,227867
24.89,0.15,227871
24.47,0.09,227876
24.82,-0.04,227880
24.54,0.03,227885
24.47,0.09,227890
24.82,0.03,227894
24.89,0.03,227898
24.47,0.09,227902
24.89,0.09,227907
24.40,-0.04,227911
24.89,-0.04,227915
24.47,-0.04,227920
24.47,0.09,227924
24.47,0.15,227929
24.82,0.09,227934
24.82,0.03,227938
24.47,0.09,227942
24.89,0.09,227947
24.82,0.03,227951
24.47,0.03,227955
24.82,0.09,227960
24.47,0.15,227964
24.82,0.22,227969
24.89,-0.04,227973
24.82,0.09,227978
24.89,0.15,227982
24.89,0.09,227986
24.47,-0.04,227991
24.82,-0.04,227995
24.89,0.09,227999
24.82,0.03,228004
24.54,0.09,228008
24.89,0.09,228013
24.96,0.03,228018
24.89,0.09,228022
24.89,-0.04,228026
24.89,0.03,228031
24.89,0.09,228035
24.82,0.03,228039
24.54,0.03,228043
24.89,0.09,228048
24.82,0.03,228052
24.89,0.09,228057
24.54,-0.04,228062
24.82,-0.04,228066
